,XLK,XLF,XLV,XLY,XLI,XLP,XLE,XLU,XLRE,XLB
2018-10-31,0.9999999999999997,4.1633363423443364e-17,0.0,3.46338159841328e-17,0.0,0.0,1.1275702593849244e-16,2.4980018054066017e-16,0.0,0.0
2018-11-30,0.8611737465176412,0.0,0.0,0.0,8.32667268468867e-17,0.0,1.5959455978986618e-16,0.13882625348235855,6.071532165918822e-17,0.0
2018-12-31,0.8518017646639661,1.0259927153363229e-16,0.0,0.0,0.0,0.0,1.8031502079762965e-17,0.14819823533603363,1.1449174941446924e-16,4.1633363423443364e-17
2019-01-31,0.9471989940900433,0.05280100590995679,0.0,0.0,0.0,0.0,0.0,1.1375292599897653e-17,0.0,5.377642775528101e-17
2019-02-28,0.9999999999999998,2.7755575615628914e-17,4.310962338273426e-17,0.0,0.0,2.576238862296619e-17,0.0,1.966326510066817e-16,8.326672684688674e-17,1.0408340855860843e-16
2019-03-31,0.9999999999999999,1.734723475976807e-16,1.0755285551056204e-16,0.0,3.8163916471489756e-17,0.0,2.949029909160572e-17,3.469446951953614e-18,1.214306433183765e-17,6.591949208711867e-17
2019-04-30,0.9999999999999998,0.0,1.1102230246251563e-16,0.0,1.3183898417423731e-16,0.0,0.0,4.1633363423443364e-17,0.0,0.0
2019-05-31,0.9999999999999998,0.0,0.0,0.0,0.0,7.158087031351945e-17,1.2882674502075408e-16,0.0,4.2122441767132367e-17,8.153200337090992e-17
2019-06-30,0.9999999999999994,4.336808689942016e-16,1.8051203899099778e-17,5.18783116806475e-17,0.0,9.177695162811405e-17,1.0478737769794009e-16,0.0,0.0,0.0
2019-07-31,0.9999999999999997,8.326672684688673e-17,0.0,5.20417042793042e-17,9.367506770274756e-17,0.0,0.0,1.9081958235744875e-17,0.0,0.0
2019-08-31,0.9999999999999998,5.2909066017292604e-17,0.0,8.673617379884033e-17,1.1492543028346345e-16,0.0,7.025630077706067e-17,0.0,2.905661822261151e-17,2.9923979960599916e-17
2019-09-30,0.9569655750345906,0.0,7.806255641895628e-17,0.0,9.194034422677074e-17,1.0538445116559098e-16,0.0,0.0430344249654089,1.335737076502141e-16,8.23993651088983e-18
2019-10-31,0.9999999999999994,0.0,0.0,0.0,5.204170427930419e-17,1.0408340855860838e-16,3.556183125752453e-16,0.0,0.0,4.2500725161431755e-17
2019-11-30,0.9999999999999993,1.6653345369377338e-16,3.3827107781547714e-16,1.491862189340053e-16,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-31,1.0,0.0,0.0,0.0,0.0,1.734723475976807e-17,0.0,0.0,3.469446951953614e-17,3.469446951953614e-18
2020-01-31,0.9999999999999989,0.0,3.4694469519536105e-17,5.412337245047632e-16,0.0,0.0,0.0,3.400058012914538e-16,0.0,0.0
2020-02-29,0.9999999999999991,7.02215071823524e-17,0.0,6.154788980246837e-17,4.07312080907467e-17,0.0,1.6910074531303033e-16,4.718447854656912e-16,0.0,0.0
2020-03-31,0.9999999999999996,0.0,6.071532165918822e-17,1.660997728247792e-16,0.0,1.1969591984239964e-16,1.9949319973733272e-17,9.540979117872435e-17,4.336808689942016e-19,0.0
2020-04-30,0.9999999999999993,0.0,0.0,0.0,0.0,2.636779683484745e-16,0.0,8.326672684688669e-17,2.4286128663675285e-16,0.0
2020-05-31,0.9999999999999998,0.0,2.6367796834847463e-16,0.0,0.0,3.816391647148975e-17,0.0,1.0408340855860841e-17,3.122502256758252e-17,0.0
2020-06-30,1.0,0.0,0.0,0.0,3.469446951953614e-17,0.0,6.938893903907228e-17,0.0,2.7755575615628914e-17,2.7755575615628914e-17
2020-07-31,0.9999999999999993,0.0,1.3183898417423724e-16,0.0,8.326672684688669e-17,5.551115123125779e-17,9.87546716063663e-17,1.0408340855860835e-16,4.857225732735057e-17,0.0
2020-08-31,0.9999999999999996,1.1796119636642288e-16,0.0,2.7755575615628914e-17,0.0,1.942890293094024e-16,1.8735013540549517e-16,0.0,4.822312693146366e-17,0.0
2020-09-30,0.9999999999999998,0.0,0.0,2.4980018054066017e-16,9.887923813067798e-17,0.0,0.0,0.0,9.714451465470117e-17,6.938893903907227e-17
2020-10-31,0.976224290706166,1.0408340855860838e-17,4.553649124439117e-17,0.02377570929383351,0.0,0.0,3.2265856653168597e-16,1.604619215278546e-17,0.0,0.0
2020-11-30,0.9999999999999993,0.0,0.0,3.3306690738754676e-16,0.0,6.245004513516502e-17,1.0234868508263154e-16,1.3877787807814448e-17,0.0,0.0
2020-12-31,0.9999999999999997,8.326672684688673e-17,2.2551405187698486e-17,0.0,8.847089727481714e-17,9.714451465470117e-17,0.0,1.7347234759768068e-17,0.0,0.0
2021-01-31,0.9999999999999991,0.0,0.0,4.440892098500622e-16,2.775557561562889e-17,2.6367796834847443e-16,0.0,0.0,2.0816681711721668e-16,5.551115123125778e-17
2021-02-28,1.0,0.0,0.0,0.0,3.8163916471489756e-17,3.469446951953614e-17,0.0,2.42861286636753e-17,0.0,4.5102810375396984e-17
2021-03-31,0.9999999999999996,4.857225732735058e-17,0.0,2.220446049250312e-16,0.0,6.938893903907225e-18,1.1796119636642283e-16,5.55111512312578e-17,1.387778780781445e-17,5.204170427930419e-17
2021-04-30,0.9999999999999998,1.3877787807814454e-17,0.0,0.0,3.642919299551294e-17,3.4694469519536136e-17,1.040834085586084e-16,1.3877787807814454e-17,6.938893903907227e-18,0.0
2021-05-31,0.981377122699843,0.0,0.0,1.0928757898653877e-16,0.0,0.018622877300156604,2.1315414711065002e-16,0.0,0.0,0.0
2021-06-30,0.9999999999999996,3.1225022567582515e-17,0.0,2.0816681711721675e-16,0.0,4.163336342344335e-17,8.32667268468867e-17,1.387778780781445e-17,0.0,0.0
2021-07-31,1.0,9.089067131308901e-17,7.701288350527456e-17,0.0,5.551115123125783e-17,4.683753385137379e-17,0.0,0.0,0.0,3.469446951953614e-18
2021-08-31,0.9999999999999998,1.0408340855860841e-17,7.63278329429795e-17,0.0,0.0,0.0,0.0,2.4286128663675293e-17,2.1510571102112403e-16,0.0
2021-09-30,0.9999999999999996,0.0,0.0,0.0,4.358037517806062e-17,0.0,3.2807502523825686e-16,0.0,0.0,0.0
2021-10-31,1.0,0.0,7.112366251504909e-17,0.0,8.673617379884035e-18,2.7755575615628914e-17,8.673617379884035e-18,0.0,0.0,0.0
2021-11-30,1.0,0.0,0.0,0.0,6.938893903907228e-17,0.0,0.0,1.214306433183765e-17,5.204170427930421e-17,8.153200337090993e-17
2021-12-31,1.0,9.71445146547012e-17,6.938893903907228e-17,0.0,0.0,0.0,0.0,0.0,0.0,4.163336342344337e-17
2022-01-31,1.0,7.46165295350835e-17,0.0,9.71445146547012e-17,0.0,0.0,6.50897367198127e-17,3.469446951953614e-18,0.0,0.0
2022-02-28,1.0,5.016004310180108e-17,7.097672481352277e-17,0.0,8.526679678357712e-18,5.204170427930421e-18,6.056838395766193e-17,0.0,0.0,0.0
2022-03-31,0.9999999999999999,2.2589939437185214e-18,2.42861286636753e-17,0.0,3.6953463463254663e-17,2.0816681711721685e-17,0.0,4.163336342344337e-17,1.2667334799579361e-17,3.469446951953614e-17
2022-04-30,0.8137494483718344,8.913327703957001e-18,0.012901923324909711,0.0,2.97037513943138e-17,0.06851939435165097,0.0,0.0,0.0,0.10482923395160489
2022-05-31,0.8246788880849407,0.0,0.0,0.0,0.0,2.417770844642674e-17,0.1753211119150592,0.0,4.0332320816460746e-17,2.168404344971008e-18
2022-06-30,0.5867576695409511,9.691412169304803e-17,0.3366853091117702,8.000734406585219e-17,8.00683304380545e-17,2.930733997499879e-17,0.07655702134727839,0.0,5.754403030466815e-17,0.0
